"","embryo_time","cell_type"
"412",270,"Neuroblast_ADF_AWB"
"413",270,NA
"414",270,"ASK_parent"
"415",280,"Neuroblast_ASG_AWA"
"416",260,NA
"417",290,"Neuroblast_ASG_AWA"
"418",285,NA
"419",225,NA
"420",230,"Neuroblast_AFD_RMD"
"421",260,"Neuroblast_ADF_AWB"
"422",290,"ADL_parent"
"423",180,NA
"424",260,"Neuroblast_ASE_ASJ_AUA"
"425",230,NA
"426",265,"Neuroblast_ASG_AWA"
"427",180,NA
"428",210,NA
"429",270,NA
"430",275,"Neuroblast_ADF_AWB"
"431",265,"Neuroblast_AFD_RMD"
"432",345,"ASH"
"433",260,"ADL_parent"
"434",200,NA
"435",200,NA
"436",265,NA
"437",260,"Neuroblast_ASE_ASJ_AUA"
"438",265,"ADL_parent"
"439",260,"Neuroblast_ADF_AWB"
"440",170,NA
"441",300,"Neuroblast_ASJ_AUA"
"442",200,NA
"443",230,NA
"444",175,NA
"445",260,NA
"446",300,"ASK_parent"
"447",300,"ASE_parent"
"448",350,"ASH"
"449",270,NA
"450",215,NA
"451",270,NA
"452",385,"AWA"
"453",420,"AFD"
"454",270,"Neuroblast_ASG_AWA"
"455",300,"Neuroblast_ASG_AWA"
"456",275,"Neuroblast_AFD_RMD"
"457",220,NA
"458",290,"Neuroblast_ASJ_AUA"
"459",215,NA
"460",260,NA
"461",230,NA
"462",320,"AFD"
"463",230,"Neuroblast_AFD_RMD"
"464",340,"AFD"
"465",260,"Neuroblast_ASG_AWA"
"466",260,"Neuroblast_ADF_AWB"
"467",300,"Neuroblast_ASG_AWA"
"468",175,NA
"469",375,"ASH"
"470",300,"ADL_parent"
"471",190,NA
"472",300,"ADL_parent"
"473",390,"AFD"
"474",410,"ASI"
"475",180,NA
"476",230,"Neuroblast_AFD_RMD"
"477",275,"Neuroblast_AFD_RMD"
"478",320,NA
"479",210,NA
"480",290,"ADL_parent"
"481",230,"Neuroblast_AFD_RMD"
"482",300,"Neuroblast_ASG_AWA"
"483",190,NA
"484",300,"ASE_parent"
"485",230,NA
"486",320,"ASE_parent"
"487",260,"ADL_parent"
"488",260,NA
"489",350,"AUA"
"490",270,NA
"491",300,"ADL_parent"
"492",270,NA
"493",320,"Neuroblast_ASG_AWA"
"494",270,NA
"495",200,NA
"496",260,"ADL_parent"
"497",260,"Neuroblast_ADF_AWB"
"498",175,NA
"499",275,NA
"500",280,NA
"501",310,"ADL_parent"
"502",425,"AWC"
"503",220,NA
"504",260,"Neuroblast_ASE_ASJ_AUA"
"505",285,"Neuroblast_AFD_RMD"
"506",415,"AWC"
"507",225,NA
"508",225,NA
"509",350,"ASH"
"510",325,"AFD"
"511",260,"Neuroblast_AFD_RMD"
"512",225,NA
"513",300,"ASE_parent"
"514",260,"Neuroblast_AFD_RMD"
"515",270,NA
"516",280,"ASI_parent"
"517",270,"Neuroblast_ADF_AWB"
"518",265,NA
"519",260,NA
"520",270,"ASK_parent"
"521",270,"ADL_parent"
"522",260,"Neuroblast_AFD_RMD"
"523",325,"ASK_parent"
"524",340,"Neuroblast_ASJ_AUA"
"525",280,NA
"526",245,NA
"527",300,"ADL_parent"
"528",190,NA
"529",300,"ASE_parent"
"530",260,NA
"531",210,NA
"532",420,"ADF"
"533",170,NA
"534",200,NA
"535",295,"ADL_parent"
"536",260,NA
"537",260,NA
"538",260,NA
"539",190,NA
"540",260,"Neuroblast_ASG_AWA"
"541",290,"ADL_parent"
"542",230,NA
"543",350,"ADL"
"544",230,NA
"545",260,"ADL_parent"
"546",270,"Neuroblast_AFD_RMD"
"547",470,"ASE"
"548",265,NA
"549",200,NA
"550",415,"ADL"
"551",350,"ASJ"
"552",260,"Neuroblast_ASE_ASJ_AUA"
"553",280,"Neuroblast_ADF_AWB"
"554",360,"ADL"
"555",270,NA
"556",300,"ASK_parent"
"557",290,"ADL_parent"
"558",270,"Neuroblast_ASG_AWA"
"559",200,NA
"560",200,NA
"561",350,"ASG_AWA"
"562",200,NA
"563",275,NA
"564",260,NA
"565",260,NA
"566",195,NA
"567",225,"ADL_parent"
"568",230,"Neuroblast_ASE_ASJ_AUA"
"569",390,"AWA"
"570",270,"Neuroblast_AFD_RMD"
"571",170,NA
"572",260,"Neuroblast_AFD_RMD"
"573",180,NA
"574",230,NA
"575",260,"Neuroblast_ADF_AWB"
"576",230,NA
"577",260,NA
"578",300,"ADL_parent"
"579",185,NA
"580",180,NA
"581",245,NA
"582",270,"Neuroblast_AFD_RMD"
"583",380,"ADL"
"584",270,"Neuroblast_ADF_AWB"
"585",350,"ASH"
"586",245,"Neuroblast_ASE_ASJ_AUA"
"587",200,NA
"588",295,"Neuroblast_ASG_AWA"
"589",270,"ADL_parent"
"590",405,"ASE"
"591",320,"ASE_parent"
"592",300,"ASE_parent"
"593",170,NA
"594",260,"ADL_parent"
"595",270,NA
"596",295,"Neuroblast_AFD_RMD"
"597",470,"ASE"
"598",350,"ADF_AWB"
"599",260,"Neuroblast_AFD_RMD"
"600",170,NA
"601",230,NA
"602",230,"Neuroblast_AFD_RMD"
"603",260,"Neuroblast_ADF_AWB"
"604",200,NA
"605",300,"ASK_parent"
"606",260,"ADL_parent"
"607",200,NA
"608",200,NA
"609",280,"Neuroblast_ADF_AWB"
"610",260,"ADL_parent"
"611",190,NA
"612",350,"Neuroblast_ASJ_AUA"
"613",175,NA
"614",290,"ASK_parent"
"615",190,NA
"616",195,NA
"617",390,"ASH"
"618",310,"AFD"
"619",300,"ADL_parent"
"620",420,"ASK"
"621",260,"Neuroblast_AFD_RMD"
"622",230,NA
"623",260,NA
"624",620,"AWC"
"625",300,"Neuroblast_ASG_AWA"
"626",195,NA
"627",205,NA
"628",280,"Neuroblast_ADF_AWB"
"629",225,"ADL_parent"
"630",210,"ADL_parent"
"631",230,"ADL_parent"
"632",270,NA
"633",280,"Neuroblast_ADF_AWB"
"634",210,NA
"635",300,"Neuroblast_ASG_AWA"
"636",270,"Neuroblast_ADF_AWB"
"637",290,"Neuroblast_ASJ_AUA"
"638",230,"Neuroblast_AFD_RMD"
"639",275,"Neuroblast_ADF_AWB"
"640",350,"ASH"
"641",260,"Neuroblast_ASE_ASJ_AUA"
"642",260,NA
"643",195,NA
"644",260,"Neuroblast_ADF_AWB"
"645",390,"ASE"
"646",220,NA
"647",230,NA
"648",270,"ASK_parent"
"649",260,NA
"650",270,"Neuroblast_ASG_AWA"
"651",205,NA
"652",300,"ASE_parent"
"653",230,"Neuroblast_AFD_RMD"
"654",220,NA
"655",265,NA
"656",230,"Neuroblast_AFD_RMD"
"657",190,NA
"658",220,NA
"659",390,"ASJ"
"660",215,"Neuroblast_ASE_ASJ_AUA"
"661",230,NA
"662",260,NA
"663",320,"ASE_parent"
"664",270,"Neuroblast_ADF_AWB"
"665",300,"Neuroblast_ADF_AWB"
"666",300,"ADL_parent"
"667",260,"Neuroblast_ASE_ASJ_AUA"
"668",320,"ASI_parent"
"669",215,"ADL_parent"
"670",260,"ADL_parent"
"671",450,"ADL"
"672",280,NA
"673",170,NA
"674",350,"ADL"
"675",320,"ASE_parent"
"676",330,"ASK_parent"
"677",215,NA
"678",260,"Neuroblast_ASE_ASJ_AUA"
"679",335,"ASE_parent"
"680",225,NA
"681",285,NA
"682",260,"Neuroblast_AFD_RMD"
"683",190,NA
"684",350,"Neuroblast_ASJ_AUA"
"685",265,NA
"686",200,NA
"687",360,"AFD"
"688",170,NA
"689",270,"ADL_parent"
"690",350,"ADF_AWB"
"691",405,"ASE"
"692",380,"ASH"
"693",345,"ASI_parent"
"694",170,NA
"695",260,NA
"696",260,NA
"697",225,NA
"698",330,NA
"699",225,NA
"700",175,NA
"701",260,"Neuroblast_ASE_ASJ_AUA"
"702",260,"Neuroblast_ADF_AWB"
"703",200,NA
"704",260,"ADL_parent"
"705",180,NA
"706",490,"ADL"
"707",300,"Neuroblast_ASG_AWA"
"708",360,"AWC"
"709",185,NA
"710",300,"ASI_parent"
"711",385,"ADL"
"712",380,"AFD"
"713",265,"ASI_parent"
"714",260,"Neuroblast_ADF_AWB"
"715",230,"Neuroblast_AFD_RMD"
"716",200,NA
"717",355,"ASK_parent"
"718",300,"ADL_parent"
"719",205,NA
"720",225,NA
"721",300,"ASE_parent"
"722",185,NA
"723",340,"ASI_parent"
"724",325,"ADL_parent"
"725",190,NA
"726",300,"ADL_parent"
"727",245,NA
"728",350,NA
"729",290,"ADL_parent"
"730",320,"AFD"
"731",355,"AFD"
"732",170,NA
"733",205,NA
"734",420,"ASE"
"735",310,"ASK_parent"
"736",170,NA
"737",185,NA
"738",260,"Neuroblast_ASE_ASJ_AUA"
"739",365,"ADL"
"740",260,NA
"741",200,NA
"742",180,NA
"743",300,"Neuroblast_ASG_AWA"
"744",260,"Neuroblast_ADF_AWB"
"745",345,"ASH"
"746",200,NA
"747",300,"Neuroblast_ASG_AWA"
"748",260,"Neuroblast_ASE_ASJ_AUA"
"749",260,"Neuroblast_ASE_ASJ_AUA"
"750",320,"Neuroblast_ASJ_AUA"
"751",300,"ASE_parent"
"752",260,"Neuroblast_ASE_ASJ_AUA"
"753",245,NA
"754",200,NA
"755",210,NA
"756",380,"ADL"
"757",200,NA
"758",260,"Neuroblast_ADF_AWB"
"759",275,NA
"760",170,NA
"761",330,NA
"762",215,"Neuroblast_ASE_ASJ_AUA"
"763",380,"ADL"
"764",190,NA
"765",175,NA
"766",190,NA
"767",275,"Neuroblast_ADF_AWB"
"768",200,NA
"769",260,"Neuroblast_ADF_AWB"
"770",245,NA
"771",415,"ADF"
"772",270,"Neuroblast_AFD_RMD"
"773",300,"ASG_AWA"
"774",320,"ASE_parent"
"775",260,NA
"776",270,NA
"777",345,"ADL"
"778",300,"ADL_parent"
"779",185,NA
"780",260,"Neuroblast_ADF_AWB"
"781",260,NA
"782",355,NA
"783",210,NA
"784",270,NA
"785",295,"Neuroblast_ASJ_AUA"
"786",215,"Neuroblast_ASE_ASJ_AUA"
"787",300,"ADL_parent"
"788",200,NA
"789",185,NA
"790",270,"Neuroblast_AFD_RMD"
"791",310,"ASE_parent"
"792",280,"Neuroblast_ASG_AWA"
"793",220,NA
"794",200,NA
"795",270,"ADL_parent"
"796",230,NA
"797",290,"ADL_parent"
"798",310,"Neuroblast_ASG_AWA"
"799",300,"ADL_parent"
"800",345,"ASH"
"801",350,"ADL"
"802",390,"ASE"
"803",300,"ASK_parent"
"804",260,"Neuroblast_AFD_RMD"
"805",260,NA
"806",320,NA
"807",195,NA
"808",225,NA
"809",320,"ADL_parent"
"810",245,"ADL_parent"
"811",260,NA
"812",175,NA
"813",225,NA
"814",430,"ASE"
"815",345,"AFD"
"816",265,NA
"817",170,NA
"818",230,NA
"819",365,"ADF_AWB"
"820",290,"ASK_parent"
"821",175,NA
"822",260,NA
"823",270,"Neuroblast_ASG_AWA"
"824",265,"Neuroblast_AFD_RMD"
"825",170,NA
"826",170,NA
"827",215,"Neuroblast_ASE_ASJ_AUA"
"828",230,"Neuroblast_AFD_RMD"
"829",300,"Neuroblast_ASJ_AUA"
"830",300,"ADL_parent"
"831",290,NA
"832",170,NA
"833",270,"Neuroblast_ADF_AWB"
"834",270,"Neuroblast_ASG_AWA"
"835",300,"ADL_parent"
"836",230,"Neuroblast_AFD_RMD"
"837",550,"AWA"
"838",290,"ADL_parent"
"839",260,NA
"840",190,NA
"841",270,"Neuroblast_ASG_AWA"
"842",260,NA
"843",320,"ADL_parent"
"844",190,NA
"845",280,"Neuroblast_ADF_AWB"
"846",350,"ASG_AWA"
"847",270,"Neuroblast_ASG_AWA"
"848",185,NA
"849",190,NA
"850",260,"Neuroblast_ASG_AWA"
"851",300,"Neuroblast_ADF_AWB"
"852",180,NA
"853",245,NA
"854",215,"Neuroblast_ASE_ASJ_AUA"
"855",340,"ASI_parent"
"856",380,"ASH"
"857",200,"Neuroblast_ASE_ASJ_AUA"
"858",390,"ASH"
"859",365,"ADF_AWB"
"860",700,"AFD"
"861",245,NA
"862",300,"Neuroblast_ASG_AWA"
"863",375,"ASG_AWA"
"864",440,"AWC"
"865",200,NA
"866",310,"ADL_parent"
"867",260,NA
"868",325,"ADL_parent"
"869",320,"AFD"
"870",360,"ASE"
"871",205,NA
"872",350,"ASE_parent"
"873",300,"Neuroblast_ADF_AWB"
"874",500,"ADL"
"875",245,NA
"876",355,"ASI_parent"
"877",350,"ASH"
"878",380,"ADL"
"879",295,NA
"880",260,NA
"881",280,NA
"882",170,NA
"883",300,"ASE_parent"
"884",260,"Neuroblast_ASG_AWA"
"885",350,"ASH"
"886",320,"ASI_parent"
"887",425,"ASH"
"888",450,"ASI"
"889",300,"ADL_parent"
"890",265,NA
"891",290,"ASK_parent"
"892",410,"AWA"
"893",450,"AWB"
"894",370,"ASI_parent"
"895",270,"Neuroblast_ADF_AWB"
"896",390,"ASH"
"897",260,NA
"898",405,"ASJ"
"899",220,NA
"900",280,"Neuroblast_ADF_AWB"
"901",390,"AFD"
"902",340,"Neuroblast_ASJ_AUA"
"903",405,"ADL"
"904",510,"ASG"
"905",295,"Neuroblast_ASG_AWA"
"906",220,NA
"907",450,"AWA"
"908",405,"AWC"
"909",270,NA
"910",220,NA
"911",390,"AFD"
"912",325,"ADL_parent"
"913",420,"AWB"
"914",310,"ASG_AWA"
"915",265,NA
"916",275,"Neuroblast_ADF_AWB"
"917",380,"ASH"
"918",230,NA
"919",270,NA
"920",360,"ASI_parent"
"921",295,"Neuroblast_ADF_AWB"
"922",405,"ASJ"
"923",350,"ASG_AWA"
"924",280,"Neuroblast_ADF_AWB"
"925",385,"ADF_AWB"
"926",410,"ASG_AWA"
"927",270,"ADL_parent"
"928",320,"AFD"
"929",360,"AFD"
"930",380,"ASH"
"931",390,"AWB"
"932",320,"ASE_parent"
"933",380,"ASK_parent"
"934",270,"Neuroblast_ADF_AWB"
"935",390,"AFD"
"936",260,NA
"937",300,"AFD"
"938",350,"ASG_AWA"
"939",320,"Neuroblast_ASJ_AUA"
"940",385,"AFD"
"941",385,"ADL"
"942",290,NA
"943",340,"ASK_parent"
"944",265,NA
"945",670,"ASH"
"946",200,NA
"947",350,"ASE_parent"
"948",300,"ADL_parent"
"949",300,"ASE_parent"
"950",280,NA
"951",350,NA
"952",270,NA
"953",390,"ASG_AWA"
"954",360,"AFD"
"955",260,"Neuroblast_ASE_ASJ_AUA"
"956",350,"ASJ"
"957",270,NA
"958",620,"ADL"
"959",370,"ADL"
"960",175,NA
"961",295,"ASE_parent"
"962",450,"ASI"
"963",300,"Neuroblast_ADF_AWB"
"964",285,NA
"965",405,"AWC"
"966",280,"Neuroblast_ASG_AWA"
"967",270,NA
"968",390,"ASH"
"969",260,"Neuroblast_ADF_AWB"
"970",550,"AWA"
"971",320,"ASG_AWA"
"972",230,NA
"973",585,"AWC"
"974",415,"AWC"
"975",290,NA
"976",185,NA
"977",380,"ASH"
"978",435,"AWC"
"979",285,"Neuroblast_ASG_AWA"
"980",200,NA
"981",385,"ASG_AWA"
"982",700,"AWC"
"983",450,"ASE"
"984",405,"ASH"
"985",215,"Neuroblast_ASE_ASJ_AUA"
"986",350,"ASJ"
"987",410,"ASE"
"988",400,"AWC"
"989",365,"ASE_parent"
"990",350,"ADL"
"991",450,"ADL"
"992",175,NA
"993",205,NA
"994",230,NA
"995",405,"ASE"
"996",325,"Neuroblast_ASJ_AUA"
"997",415,"AWC"
"998",190,NA
"999",450,"AWB"
"1000",260,"Neuroblast_ADF_AWB"
"1001",170,NA
"1002",385,"AWA"
"1003",295,NA
"1004",320,"ASE_parent"
"1005",190,NA
"1006",370,"ASH"
"1007",390,"ASG_AWA"
"1008",420,"AWA"
"1009",245,NA
"1010",470,"AWA"
"1011",350,"ASE_parent"
"1012",425,"AFD"
"1013",410,"AWC"
"1014",345,"ASH"
"1015",390,"AFD"
"1016",410,"ASG_AWA"
"1017",640,"ASG"
"1018",490,"ASG"
"1019",450,"AWC"
"1020",490,"ASK"
"1021",425,"AWC"
"1022",405,"AFD"
"1023",245,NA
"1024",290,"ASK_parent"
"1025",295,"Neuroblast_AFD_RMD"
"1026",450,"ASI"
"1027",380,"ASH"
"1028",190,NA
"1029",170,NA
"1030",260,"Neuroblast_AFD_RMD"
"1031",190,NA
"1032",345,"ADF_AWB"
"1033",290,"ASK_parent"
"1034",550,"ASJ"
"1035",350,"ADF_AWB"
"1036",200,NA
"1037",365,"ASE"
"1038",300,"Neuroblast_ASG_AWA"
"1039",225,NA
"1040",500,"ASH"
"1041",170,NA
"1042",265,"Neuroblast_ADF_AWB"
"1043",360,"AWC"
"1044",385,"ASG_AWA"
"1045",380,"ASH"
"1046",270,"Neuroblast_ADF_AWB"
"1047",180,NA
"1048",300,"Neuroblast_ASG_AWA"
"1049",425,"AWA"
"1050",380,"ASH"
"1051",275,"ADL_parent"
"1052",265,"ADL_parent"
"1053",190,NA
"1054",175,NA
"1055",260,NA
"1056",180,NA
"1057",300,"ASE_parent"
"1058",190,NA
"1059",380,"ASH"
"1060",320,"ASE_parent"
